code,name,category
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),Agriculture & Rural Development
AG.LND.FRST.ZS,Forest area (% of land area),Agriculture & Rural Development
AG.LND.FRST.K2,Forest area (sq. km),Agriculture & Rural Development
AG.LND.TOTL.K2,Land area (sq. km),Agriculture & Rural Development
AG.LND.CREL.HA,Land under cereal production (hectares),Agriculture & Rural Development
AG.PRD.LVSK.XD,Livestock production index (2014-2016 = 100),Agriculture & Rural Development
AG.LND.CROP.ZS,Permanent cropland (% of land area),Agriculture & Rural Development
AG.LND.TOTL.RU.K2,Rural land area (sq. km),Agriculture & Rural Development
AG.LND.EL5M.RU.ZS,Rural land area where elevation is below 5 meters (% of total land area),Agriculture & Rural Development
AG.LND.EL5M.RU.K2,Rural land area where elevation is below 5 meters (sq. km),Agriculture & Rural Development
SP.RUR.TOTL,Rural population,Agriculture & Rural Development
SP.RUR.TOTL.ZS,Rural population (% of total population),Agriculture & Rural Development
SP.RUR.TOTL.ZG,Rural population growth (annual %),Agriculture & Rural Development
EN.POP.EL5M.RU.ZS,Rural population living in areas where elevation is below 5 meters (% of total population),Agriculture & Rural Development
AG.SRF.TOTL.K2,Surface area (sq. km),Agriculture & Rural Development
BX.GRT.EXTA.CD.WD,"Grants, excluding technical cooperation (BoP, current US$)",Aid Effectiveness
SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",Aid Effectiveness
SI.DST.FRST.20,Income share held by lowest 20%,Aid Effectiveness
SH.STA.MMRT,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",Aid Effectiveness
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",Aid Effectiveness
DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),Aid Effectiveness
DT.ODA.ODAT.XP.ZS,Net ODA received (% of central government expense),Aid Effectiveness
DT.ODA.ODAT.GI.ZS,Net ODA received (% of gross capital formation),Aid Effectiveness
DT.ODA.ODAT.MP.ZS,"Net ODA received (% of imports of goods, services and primary income)",Aid Effectiveness
DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),Aid Effectiveness
DC.DAC.AUSL.CD,"Net bilateral aid flows from DAC donors, Australia (current US$)",Aid Effectiveness
DC.DAC.AUTL.CD,"Net bilateral aid flows from DAC donors, Austria (current US$)",Aid Effectiveness
DC.DAC.BELL.CD,"Net bilateral aid flows from DAC donors, Belgium (current US$)",Aid Effectiveness
DC.DAC.CANL.CD,"Net bilateral aid flows from DAC donors, Canada (current US$)",Aid Effectiveness
DC.DAC.CZEL.CD,"Net bilateral aid flows from DAC donors, Czech Republic (current US$)",Aid Effectiveness
DC.DAC.DNKL.CD,"Net bilateral aid flows from DAC donors, Denmark (current US$)",Aid Effectiveness
DC.DAC.CECL.CD,"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",Aid Effectiveness
DC.DAC.FINL.CD,"Net bilateral aid flows from DAC donors, Finland (current US$)",Aid Effectiveness
DC.DAC.FRAL.CD,"Net bilateral aid flows from DAC donors, France (current US$)",Aid Effectiveness
DC.DAC.DEUL.CD,"Net bilateral aid flows from DAC donors, Germany (current US$)",Aid Effectiveness
DC.DAC.GRCL.CD,"Net bilateral aid flows from DAC donors, Greece (current US$)",Aid Effectiveness
DC.DAC.HUNL.CD,"Net bilateral aid flows from DAC donors, Hungary (current US$)",Aid Effectiveness
DC.DAC.ISLL.CD,"Net bilateral aid flows from DAC donors, Iceland (current US$)",Aid Effectiveness
DC.DAC.IRLL.CD,"Net bilateral aid flows from DAC donors, Ireland (current US$)",Aid Effectiveness
DC.DAC.ITAL.CD,"Net bilateral aid flows from DAC donors, Italy (current US$)",Aid Effectiveness
DC.DAC.JPNL.CD,"Net bilateral aid flows from DAC donors, Japan (current US$)",Aid Effectiveness
DC.DAC.KORL.CD,"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",Aid Effectiveness
DC.DAC.LUXL.CD,"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",Aid Effectiveness
DC.DAC.NLDL.CD,"Net bilateral aid flows from DAC donors, Netherlands (current US$)",Aid Effectiveness
DC.DAC.NZLL.CD,"Net bilateral aid flows from DAC donors, New Zealand (current US$)",Aid Effectiveness
DC.DAC.NORL.CD,"Net bilateral aid flows from DAC donors, Norway (current US$)",Aid Effectiveness
DC.DAC.POLL.CD,"Net bilateral aid flows from DAC donors, Poland (current US$)",Aid Effectiveness
DC.DAC.PRTL.CD,"Net bilateral aid flows from DAC donors, Portugal (current US$)",Aid Effectiveness
DC.DAC.SVKL.CD,"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)",Aid Effectiveness
DC.DAC.SVNL.CD,"Net bilateral aid flows from DAC donors, Slovenia (current US$)",Aid Effectiveness
DC.DAC.ESPL.CD,"Net bilateral aid flows from DAC donors, Spain (current US$)",Aid Effectiveness
DC.DAC.SWEL.CD,"Net bilateral aid flows from DAC donors, Sweden (current US$)",Aid Effectiveness
DC.DAC.CHEL.CD,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",Aid Effectiveness
DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)",Aid Effectiveness
DC.DAC.GBRL.CD,"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",Aid Effectiveness
DC.DAC.USAL.CD,"Net bilateral aid flows from DAC donors, United States (current US$)",Aid Effectiveness
SM.POP.NETM,Net migration,Aid Effectiveness
DT.ODA.OATL.KD,Net official aid received (constant 2020 US$),Aid Effectiveness
DT.ODA.OATL.CD,Net official aid received (current US$),Aid Effectiveness
DT.ODA.ALLD.KD,Net official development assistance and official aid received (constant 2020 US$),Aid Effectiveness
DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),Aid Effectiveness
DT.ODA.ODAT.KD,Net official development assistance received (constant 2020 US$),Aid Effectiveness
DT.ODA.ODAT.CD,Net official development assistance received (current US$),Aid Effectiveness
DT.NFL.FAOG.CD,"Net official flows from UN agencies, FAO (current US$)",Aid Effectiveness
DT.NFL.IAEA.CD,"Net official flows from UN agencies, IAEA (current US$)",Aid Effectiveness
DT.NFL.IFAD.CD,"Net official flows from UN agencies, IFAD (current US$)",Aid Effectiveness
DT.NFL.ILOG.CD,"Net official flows from UN agencies, ILO (current US$)",Aid Effectiveness
DT.NFL.UNAI.CD,"Net official flows from UN agencies, UNAIDS (current US$)",Aid Effectiveness
DT.NFL.UNDP.CD,"Net official flows from UN agencies, UNDP (current US$)",Aid Effectiveness
DT.NFL.UNEC.CD,"Net official flows from UN agencies, UNECE (current US$)",Aid Effectiveness
DT.NFL.UNEP.CD,"Net official flows from UN agencies, UNEP (current US$)",Aid Effectiveness
DT.NFL.UNFP.CD,"Net official flows from UN agencies, UNFPA (current US$)",Aid Effectiveness
DT.NFL.UNCR.CD,"Net official flows from UN agencies, UNHCR (current US$)",Aid Effectiveness
DT.NFL.UNCF.CD,"Net official flows from UN agencies, UNICEF (current US$)",Aid Effectiveness
DT.NFL.UNID.CD,"Net official flows from UN agencies, UNIDIR (current US$)",Aid Effectiveness
DT.NFL.UNPB.CD,"Net official flows from UN agencies, UNPBF (current US$)",Aid Effectiveness
DT.NFL.UNRW.CD,"Net official flows from UN agencies, UNRWA (current US$)",Aid Effectiveness
DT.NFL.UNTA.CD,"Net official flows from UN agencies, UNTA (current US$)",Aid Effectiveness
DT.NFL.UNWT.CD,"Net official flows from UN agencies, UNWTO (current US$)",Aid Effectiveness
DT.NFL.WFPG.CD,"Net official flows from UN agencies, WFP (current US$)",Aid Effectiveness
DT.NFL.WHOL.CD,"Net official flows from UN agencies, WHO (current US$)",Aid Effectiveness
SI.POV.DDAY,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Aid Effectiveness
SH.STA.ANVC.ZS,Pregnant women receiving prenatal care (%),Aid Effectiveness
SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)",Aid Effectiveness
SH.STA.STNT.ZS,"Prevalence of stunting, height for age (% of children under 5)",Aid Effectiveness
SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)",Aid Effectiveness
SE.ENR.PRSC.FM.ZS,"School enrollment, primary and secondary (gross), gender parity index (GPI)",Aid Effectiveness
BX.GRT.TECH.CD.WD,"Technical cooperation grants (BoP, current US$)",Aid Effectiveness
SL.EMP.VULN.ZS,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",Aid Effectiveness
EG.ELC.ACCS.ZS,Access to electricity (% of population),Climate Change
AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land),Climate Change
AG.LND.AGRI.ZS,Agricultural land (% of land area),Climate Change
AG.LND.AGRI.K2,Agricultural land (sq. km),Climate Change
NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",Climate Change
ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",Climate Change
ER.H2O.FWTL.K3,"Annual freshwater withdrawals, total (billion cubic meters)",Climate Change
AG.LND.ARBL.ZS,Arable land (% of land area),Climate Change
AG.LND.PRCP.MM,Average precipitation in depth (mm per year),Climate Change
EN.ATM.CO2E.KD.GD,CO2 emissions (kg per 2015 US$ of GDP),Climate Change
EN.ATM.CO2E.PP.GD.KD,CO2 emissions (kg per 2017 PPP $ of GDP),Climate Change
EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),Climate Change
EN.ATM.CO2E.KT,CO2 emissions (kt),Climate Change
EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),Climate Change
EN.ATM.CO2E.GF.ZS,CO2 emissions from gaseous fuel consumption (% of total),Climate Change
EN.ATM.CO2E.GF.KT,CO2 emissions from gaseous fuel consumption (kt),Climate Change
EN.ATM.CO2E.LF.ZS,CO2 emissions from liquid fuel consumption (% of total),Climate Change
EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),Climate Change
EN.ATM.CO2E.SF.ZS,CO2 emissions from solid fuel consumption (% of total),Climate Change
EN.ATM.CO2E.SF.KT,CO2 emissions from solid fuel consumption (kt),Climate Change
EN.ATM.CO2E.EG.ZS,CO2 intensity (kg per kg of oil equivalent energy use),Climate Change
IQ.CPA.PUBS.XQ,CPIA public sector management and institutions cluster average (1=low to 6=high),Climate Change
AG.YLD.CREL.KG,Cereal yield (kg per hectare),Climate Change
SH.MED.CMHW.P3,"Community health workers (per 1,000 people)",Climate Change
EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),Climate Change
EN.CLC.MDAT.ZS,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",Climate Change
IC.BUS.EASE.XQ,Ease of doing business rank (1=most business-friendly regulations),Climate Change
EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),Climate Change
EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),Climate Change
EG.ELC.HYRO.ZS,Electricity production from hydroelectric sources (% of total),Climate Change
EG.ELC.NGAS.ZS,Electricity production from natural gas sources (% of total),Climate Change
EG.ELC.NUCL.ZS,Electricity production from nuclear sources (% of total),Climate Change
EG.ELC.PETR.ZS,Electricity production from oil sources (% of total),Climate Change
EG.ELC.RNWX.ZS,"Electricity production from renewable sources, excluding hydroelectric (% of total)",Climate Change
EG.ELC.RNWX.KH,"Electricity production from renewable sources, excluding hydroelectric (kWh)",Climate Change
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Climate Change
EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",Climate Change
BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",Climate Change
AG.LND.FRST.ZS,Forest area (% of land area),Climate Change
AG.LND.FRST.K2,Forest area (sq. km),Climate Change
EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),Climate Change
EN.ATM.HFCG.KT.CE,HFC gas emissions (thousand metric tons of CO2 equivalent),Climate Change
AG.LND.EL5M.ZS,Land area where elevation is below 5 meters (% of total land area),Climate Change
ER.MRN.PTMR.ZS,Marine protected areas (% of territorial waters),Climate Change
EN.ATM.METH.ZG,Methane emissions (% change from 1990),Climate Change
EN.ATM.METH.KT.CE,Methane emissions (kt of CO2 equivalent),Climate Change
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",Climate Change
EN.ATM.NOXE.ZG,Nitrous oxide emissions (% change from 1990),Climate Change
EN.ATM.NOXE.KT.CE,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),Climate Change
EN.ATM.GHGO.ZG,Other greenhouse gas emissions (% change from 1990),Climate Change
EN.ATM.GHGO.KT.CE,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",Climate Change
EN.ATM.PFCG.KT.CE,PFC gas emissions (thousand metric tons of CO2 equivalent),Climate Change
SP.POP.GROW,Population growth (annual %),Climate Change
EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),Climate Change
EN.POP.EL5M.ZS,Population living in areas where elevation is below 5 meters (% of total population),Climate Change
SP.POP.TOTL,"Population, total",Climate Change
SI.POV.DDAY,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Climate Change
SH.STA.MALN.ZS,"Prevalence of underweight, weight for age (% of children under 5)",Climate Change
SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)",Climate Change
EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),Climate Change
EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Climate Change
AG.LND.EL5M.RU.ZS,Rural land area where elevation is below 5 meters (% of total land area),Climate Change
AG.LND.EL5M.RU.K2,Rural land area where elevation is below 5 meters (sq. km),Climate Change
EN.POP.EL5M.RU.ZS,Rural population living in areas where elevation is below 5 meters (% of total population),Climate Change
EN.ATM.SF6G.KT.CE,SF6 gas emissions (thousand metric tons of CO2 equivalent),Climate Change
SE.ENR.PRSC.FM.ZS,"School enrollment, primary and secondary (gross), gender parity index (GPI)",Climate Change
ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),Climate Change
ER.LND.PTLD.ZS,Terrestrial protected areas (% of total land area),Climate Change
EN.ATM.GHGT.ZG,Total greenhouse gas emissions (% change from 1990),Climate Change
EN.ATM.GHGT.KT.CE,Total greenhouse gas emissions (kt of CO2 equivalent),Climate Change
AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),Climate Change
AG.LND.EL5M.UR.K2,Urban land area where elevation is below 5 meters (sq. km),Climate Change
SP.URB.TOTL,Urban population,Climate Change
SP.URB.TOTL.IN.ZS,Urban population (% of total population),Climate Change
SP.URB.GROW,Urban population growth (annual %),Climate Change
EN.POP.EL5M.UR.ZS,Urban population living in areas where elevation is below 5 meters (% of total population),Climate Change
NY.ADJ.NNTY.KD.ZG,Adjusted net national income (annual % growth),Economy & Growth
NY.ADJ.NNTY.KD,Adjusted net national income (constant 2015 US$),Economy & Growth
NY.ADJ.NNTY.CD,Adjusted net national income (current US$),Economy & Growth
NY.ADJ.NNTY.PC.KD.ZG,Adjusted net national income per capita (annual % growth),Economy & Growth
NY.ADJ.NNTY.PC.KD,Adjusted net national income per capita (constant 2015 US$),Economy & Growth
NY.ADJ.NNTY.PC.CD,Adjusted net national income per capita (current US$),Economy & Growth
NY.ADJ.SVNX.GN.ZS,"Adjusted net savings, excluding particulate emission damage (% of GNI)",Economy & Growth
NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",Economy & Growth
NY.ADJ.SVNG.GN.ZS,"Adjusted net savings, including particulate emission damage (% of GNI)",Economy & Growth
NY.ADJ.SVNG.CD,"Adjusted net savings, including particulate emission damage (current US$)",Economy & Growth
NY.ADJ.DCO2.GN.ZS,Adjusted savings: carbon dioxide damage (% of GNI),Economy & Growth
NY.ADJ.DCO2.CD,Adjusted savings: carbon dioxide damage (current US$),Economy & Growth
NY.ADJ.DKAP.GN.ZS,Adjusted savings: consumption of fixed capital (% of GNI),Economy & Growth
NY.ADJ.DKAP.CD,Adjusted savings: consumption of fixed capital (current US$),Economy & Growth
NY.ADJ.AEDU.GN.ZS,Adjusted savings: education expenditure (% of GNI),Economy & Growth
NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),Economy & Growth
NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI),Economy & Growth
NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$),Economy & Growth
NY.ADJ.ICTR.GN.ZS,Adjusted savings: gross savings (% of GNI),Economy & Growth
NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI),Economy & Growth
NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$),Economy & Growth
NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI),Economy & Growth
NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI),Economy & Growth
NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),Economy & Growth
NY.ADJ.NNAT.GN.ZS,Adjusted savings: net national savings (% of GNI),Economy & Growth
NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),Economy & Growth
NY.ADJ.DPEM.GN.ZS,Adjusted savings: particulate emission damage (% of GNI),Economy & Growth
NY.ADJ.DPEM.CD,Adjusted savings: particulate emission damage (current US$),Economy & Growth
NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",Economy & Growth
NV.AGR.TOTL.KD.ZG,"Agriculture, forestry, and fishing, value added (annual % growth)",Economy & Growth
NV.AGR.TOTL.KD,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",Economy & Growth
NV.AGR.TOTL.KN,"Agriculture, forestry, and fishing, value added (constant LCU)",Economy & Growth
NV.AGR.TOTL.CN,"Agriculture, forestry, and fishing, value added (current LCU)",Economy & Growth
NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",Economy & Growth
NV.AGR.EMPL.KD,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Economy & Growth
GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",Economy & Growth
NE.GDI.STKB.KN,Changes in inventories (constant LCU),Economy & Growth
NE.GDI.STKB.CN,Changes in inventories (current LCU),Economy & Growth
NE.GDI.STKB.CD,Changes in inventories (current US$),Economy & Growth
BM.GSR.ROYL.CD,"Charges for the use of intellectual property, payments (BoP, current US$)",Economy & Growth
BX.GSR.ROYL.CD,"Charges for the use of intellectual property, receipts (BoP, current US$)",Economy & Growth
NV.MNF.CHEM.ZS.UN,Chemicals (% of value added in manufacturing),Economy & Growth
BX.GSR.CMCP.ZS,"Communications, computer, etc. (% of service exports, BoP)",Economy & Growth
BM.GSR.CMCP.ZS,"Communications, computer, etc. (% of service imports, BoP)",Economy & Growth
BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Economy & Growth
BN.CAB.XOKA.CD,"Current account balance (BoP, current US$)",Economy & Growth
PA.NUS.ATLS,DEC alternative conversion factor (LCU per US$),Economy & Growth
NY.GDP.DISC.KN,Discrepancy in expenditure estimate of GDP (constant LCU),Economy & Growth
NY.GDP.DISC.CN,Discrepancy in expenditure estimate of GDP (current LCU),Economy & Growth
GC.XPN.TOTL.GD.ZS,Expense (% of GDP),Economy & Growth
NY.EXP.CAPM.KN,Exports as a capacity to import (constant LCU),Economy & Growth
NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),Economy & Growth
BX.GSR.GNFS.CD,"Exports of goods and services (BoP, current US$)",Economy & Growth
NE.EXP.GNFS.KD.ZG,Exports of goods and services (annual % growth),Economy & Growth
NE.EXP.GNFS.KD,Exports of goods and services (constant 2015 US$),Economy & Growth
NE.EXP.GNFS.KN,Exports of goods and services (constant LCU),Economy & Growth
NE.EXP.GNFS.CN,Exports of goods and services (current LCU),Economy & Growth
NE.EXP.GNFS.CD,Exports of goods and services (current US$),Economy & Growth
BX.GSR.TOTL.CD,"Exports of goods, services and primary income (BoP, current US$)",Economy & Growth
NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Economy & Growth
NE.RSB.GNFS.KN,External balance on goods and services (constant LCU),Economy & Growth
NE.RSB.GNFS.CN,External balance on goods and services (current LCU),Economy & Growth
NE.RSB.GNFS.CD,External balance on goods and services (current US$),Economy & Growth
DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),Economy & Growth
DT.DOD.DECT.CD,"External debt stocks, total (DOD, current US$)",Economy & Growth
NE.CON.TOTL.ZS,Final consumption expenditure (% of GDP),Economy & Growth
NE.CON.TOTL.KD.ZG,Final consumption expenditure (annual % growth),Economy & Growth
NE.CON.TOTL.KD,Final consumption expenditure (constant 2015 US$),Economy & Growth
NE.CON.TOTL.KN,Final consumption expenditure (constant LCU),Economy & Growth
NE.CON.TOTL.CN,Final consumption expenditure (current LCU),Economy & Growth
NE.CON.TOTL.CD,Final consumption expenditure (current US$),Economy & Growth
NV.FSM.TOTL.KN,Financial intermediary services indirectly Measured (FISIM) (constant LCU),Economy & Growth
NV.FSM.TOTL.CN,Financial intermediary services indirectly Measured (FISIM) (current LCU),Economy & Growth
NV.MNF.FBTO.ZS.UN,"Food, beverages and tobacco (% of value added in manufacturing)",Economy & Growth
BN.KLT.DINV.CD,"Foreign direct investment, net (BoP, current US$)",Economy & Growth
BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",Economy & Growth
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",Economy & Growth
BM.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net outflows (% of GDP)",Economy & Growth
BM.KLT.DINV.CD.WD,"Foreign direct investment, net outflows (BoP, current US$)",Economy & Growth
NY.GDP.MKTP.KD,GDP (constant 2015 US$),Economy & Growth
NY.GDP.MKTP.KN,GDP (constant LCU),Economy & Growth
NY.GDP.MKTP.CN,GDP (current LCU),Economy & Growth
NY.GDP.MKTP.CD,GDP (current US$),Economy & Growth
NY.GDP.DEFL.ZS,GDP deflator (base year varies by country),Economy & Growth
NY.GDP.MKTP.KD.ZG,GDP growth (annual %),Economy & Growth
NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),Economy & Growth
NY.GDP.PCAP.KN,GDP per capita (constant LCU),Economy & Growth
NY.GDP.PCAP.CN,GDP per capita (current LCU),Economy & Growth
NY.GDP.PCAP.CD,GDP per capita (current US$),Economy & Growth
NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),Economy & Growth
NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",Economy & Growth
NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",Economy & Growth
NY.GDP.MKTP.PP.KD,"GDP, PPP (constant 2017 international $)",Economy & Growth
NY.GDP.MKTP.PP.CD,"GDP, PPP (current international $)",Economy & Growth
NY.GDP.MKTP.CN.AD,GDP: linked series (current LCU),Economy & Growth
NY.GNP.MKTP.KD,GNI (constant 2015 US$),Economy & Growth
NY.GNP.MKTP.KN,GNI (constant LCU),Economy & Growth
NY.GNP.MKTP.CN,GNI (current LCU),Economy & Growth
NY.GNP.MKTP.CD,GNI (current US$),Economy & Growth
NY.GNP.MKTP.KD.ZG,GNI growth (annual %),Economy & Growth
NY.GNP.PCAP.KD,GNI per capita (constant 2015 US$),Economy & Growth
NY.GNP.PCAP.KN,GNI per capita (constant LCU),Economy & Growth
NY.GNP.PCAP.CN,GNI per capita (current LCU),Economy & Growth
NY.GNP.PCAP.KD.ZG,GNI per capita growth (annual %),Economy & Growth
NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",Economy & Growth
NY.GNP.PCAP.PP.KD,"GNI per capita, PPP (constant 2017 international $)",Economy & Growth
NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",Economy & Growth
NY.GNP.ATLS.CD,"GNI, Atlas method (current US$)",Economy & Growth
NY.GNP.MKTP.PP.KD,"GNI, PPP (constant 2017 international $)",Economy & Growth
NY.GNP.MKTP.PP.CD,"GNI, PPP (current international $)",Economy & Growth
NY.GNP.MKTP.CN.AD,GNI: linked series (current LCU),Economy & Growth
NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),Economy & Growth
NE.CON.GOVT.KD.ZG,General government final consumption expenditure (annual % growth),Economy & Growth
NE.CON.GOVT.KD,General government final consumption expenditure (constant 2015 US$),Economy & Growth
NE.CON.GOVT.KN,General government final consumption expenditure (constant LCU),Economy & Growth
NE.CON.GOVT.CN,General government final consumption expenditure (current LCU),Economy & Growth
NE.CON.GOVT.CD,General government final consumption expenditure (current US$),Economy & Growth
BX.GSR.MRCH.CD,"Goods exports (BoP, current US$)",Economy & Growth
BM.GSR.MRCH.CD,"Goods imports (BoP, current US$)",Economy & Growth
BX.GRT.EXTA.CD.WD,"Grants, excluding technical cooperation (BoP, current US$)",Economy & Growth
NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),Economy & Growth
NE.GDI.TOTL.KD.ZG,Gross capital formation (annual % growth),Economy & Growth
