*** Country code for Worldbank data. Manually added some categorizations as well,,,
Country Code,Country,Region,Continent
LAO,Lao PDR,East Asia & Pacific,Asia
LVA,Latvia,Europe & Central Asia,Europe
LBN,Lebanon,Middle East & North Africa,Asia
LSO,Lesotho,Sub-Saharan Africa,Africa
LBR,Liberia,Sub-Saharan Africa,Africa
LBY,Libya,Middle East & North Africa,Africa
LIE,Liechtenstein,Europe & Central Asia,Europe
LTU,Lithuania,Europe & Central Asia,Europe
LUX,Luxembourg,Europe & Central Asia,Europe
MAC,"Macao SAR, China",East Asia & Pacific,Asia
MDG,Madagascar,Sub-Saharan Africa,Africa
MWI,Malawi,Sub-Saharan Africa,Africa
MYS,Malaysia,East Asia & Pacific,Asia
MDV,Maldives,South Asia,Asia
MLI,Mali,Sub-Saharan Africa,Africa
MLT,Malta,Middle East & North Africa,Europe
MHL,Marshall Islands,East Asia & Pacific,Asia
MRT,Mauritania,Sub-Saharan Africa,Africa
MUS,Mauritius,Sub-Saharan Africa,Africa
MEX,Mexico,Latin America & Caribbean,
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Asia
MDA,Moldova,Europe & Central Asia,Europe
MCO,Monaco,Europe & Central Asia,Europe
MNG,Mongolia,East Asia & Pacific,Asia
MNE,Montenegro,Europe & Central Asia,Europe
MAR,Morocco,Middle East & North Africa,Africa
MOZ,Mozambique,Sub-Saharan Africa,Africa
MMR,Myanmar,East Asia & Pacific,Asia
NAM,Namibia,Sub-Saharan Africa,Africa
NRU,Nauru,East Asia & Pacific,Asia
NPL,Nepal,South Asia,Asia
NLD,Netherlands,Europe & Central Asia,Europe
NCL,New Caledonia,East Asia & Pacific,Asia
NZL,New Zealand,East Asia & Pacific,Asia
NIC,Nicaragua,Latin America & Caribbean,
NER,Niger,Sub-Saharan Africa,Africa
NGA,Nigeria,Sub-Saharan Africa,Africa
MKD,North Macedonia,Europe & Central Asia,Europe
MNP,Northern Mariana Islands,East Asia & Pacific,Asia
NOR,Norway,Europe & Central Asia,Europe
OMN,Oman,Middle East & North Africa,Asia
PAK,Pakistan,South Asia,Asia
PLW,Palau,East Asia & Pacific,Asia
PAN,Panama,Latin America & Caribbean,
PNG,Papua New Guinea,East Asia & Pacific,Asia
PRY,Paraguay,Latin America & Caribbean,South America
PER,Peru,Latin America & Caribbean,South America
PHL,Philippines,East Asia & Pacific,Asia
POL,Poland,Europe & Central Asia,Europe
PRT,Portugal,Europe & Central Asia,Europe
PRI,Puerto Rico,Latin America & Caribbean,
QAT,Qatar,Middle East & North Africa,Asia
ROU,Romania,Europe & Central Asia,Europe
RUS,Russian Federation,Europe & Central Asia,Europe
RWA,Rwanda,Sub-Saharan Africa,Africa
WSM,Samoa,East Asia & Pacific,Asia
SMR,San Marino,Europe & Central Asia,Europe
STP,São Tomé and Principe,Sub-Saharan Africa,Africa
SAU,Saudi Arabia,Middle East & North Africa,Asia
SEN,Senegal,Sub-Saharan Africa,Africa
SRB,Serbia,Europe & Central Asia,Europe
SYC,Seychelles,Sub-Saharan Africa,Africa
SLE,Sierra Leone,Sub-Saharan Africa,Africa
SGP,Singapore,East Asia & Pacific,Asia
SXM,Sint Maarten (Dutch part),Latin America & Caribbean,
SVK,Slovak Republic,Europe & Central Asia,Europe
SVN,Slovenia,Europe & Central Asia,Europe
SLB,Solomon Islands,East Asia & Pacific,Asia
SOM,Somalia,Sub-Saharan Africa,Africa
ZAF,South Africa,Sub-Saharan Africa,Africa
SSD,South Sudan,Sub-Saharan Africa,Africa
ESP,Spain,Europe & Central Asia,Europe
LKA,Sri Lanka,South Asia,Asia
KNA,St. Kitts and Nevis,Latin America & Caribbean,
LCA,St. Lucia,Latin America & Caribbean,
MAF,St. Martin (French part),Latin America & Caribbean,
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,
SDN,Sudan,Sub-Saharan Africa,Africa
SUR,Suriname,Latin America & Caribbean,South America
SWE,Sweden,Europe & Central Asia,Europe
CHE,Switzerland,Europe & Central Asia,Europe
SYR,Syrian Arab Republic,Middle East & North Africa,Asia
TJK,Tajikistan,Europe & Central Asia,Asia
TZA,Tanzania,Sub-Saharan Africa,Africa
THA,Thailand,East Asia & Pacific,Asia
TLS,Timor-Leste,East Asia & Pacific,Asia
TGO,Togo,Sub-Saharan Africa,Africa
TON,Tonga,East Asia & Pacific,Asia
TTO,Trinidad and Tobago,Latin America & Caribbean,
TUN,Tunisia,Middle East & North Africa,Africa
TUR,Türkiye,Europe & Central Asia,Europe
TKM,Turkmenistan,Europe & Central Asia,Asia
TCA,Turks and Caicos Islands,Latin America & Caribbean,
TUV,Tuvalu,East Asia & Pacific,Asia
UGA,Uganda,Sub-Saharan Africa,Africa
UKR,Ukraine,Europe & Central Asia,Europe
ARE,United Arab Emirates,Middle East & North Africa,Asia
GBR,United Kingdom,Europe & Central Asia,Europe
USA,United States,North America,North America
URY,Uruguay,Latin America & Caribbean,South America
UZB,Uzbekistan,Europe & Central Asia,Asia
VUT,Vanuatu,East Asia & Pacific,Asia
VEN,"Venezuela, RB",Latin America & Caribbean,South America
VNM,Viet Nam,East Asia & Pacific,Asia
VIR,Virgin Islands (U.S.),Latin America & Caribbean,
PSE,West Bank and Gaza,Middle East & North Africa,Asia
WLD,World,,
YEM,"Yemen, Rep.",Middle East & North Africa,Asia
ZMB,Zambia,Sub-Saharan Africa,Africa
ZWE,Zimbabwe,Sub-Saharan Africa,Africa
